ticker,timeframe,timestamp,open,high,low,close,volume,candle_pattern,atr_period,atr_multiplier,atr_value,long_stop,short_stop,direction,buy_signal,sell_signal,ema_11,ema_22,ema_50,ema_200,obv,ma_period,ma_value,bb_std,upper_band,lower_band,rsi_14,pp,r1,r2,r3,s1,s2,s3
BTCUSDT,1h,2025-04-09 19:00:00,81788.36000000,81788.37000000,81786.63000000,81786.63000000,0.01330000,Bearish Marubozu,22.0,3.00,3343.16126780,78858.99873220,78416.49126780,1.0,False,False,79199.40085146,78369.89848442,78348.36982506,80745.66918444,34068.39139200,14,27899.18154414,2.0000,,,68.89895389,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 18:00:00,82202.16000000,82990.00000000,81690.03000000,81788.37000000,6690.57548000,,22.0,3.00,3327.38130652,78893.39869348,78400.71130652,1.0,False,False,78754.02335508,78082.09635251,78224.98992997,80739.50985376,40759.49695200,14,27600.68686414,2.0000,,,71.70022836,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 17:00:00,78267.69000000,82286.11000000,77649.99000000,82202.16000000,14052.30474000,,22.0,3.00,3483.16803541,78718.99196459,78556.49803541,1.0,False,False,78060.67202610,77687.93600513,78061.89645772,80724.62271661,40758.98017200,14,26247.54049343,2.0000,,,71.64961733,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 16:00:00,77258.01000000,78361.59000000,77136.00000000,78267.68000000,1376.94929000,Bullish Marubozu,22.0,3.00,2837.01123190,75622.02986914,77865.24574453,-1.0,False,False,77064.42776465,77170.38556255,77853.38924631,80699.74642901,25378.80679200,14,24603.48875414,2.0000,,,49.87969636,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 15:00:00,76870.01000000,77650.95000000,76844.01000000,77258.00000000,1715.86691000,Tweezer Bottom,22.0,3.00,2953.87129056,75622.02986914,77865.24574453,-1.0,False,False,77025.31331758,77161.85085422,77877.60921555,80734.31674487,25329.72614200,14,24257.81041629,2.0000,,,49.86501593,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 14:00:00,77698.11000000,78318.46000000,76798.87000000,76870.00000000,3111.22641000,Hanging Man,22.0,3.00,2979.25468535,75622.02986914,77865.24574453,-1.0,False,False,76978.77598110,77152.69379272,77902.89938761,80769.25460161,23613.85923200,14,24042.35756271,2.0000,,,47.07231041,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 13:00:00,76763.07000000,77875.46000000,76710.89000000,77698.12000000,2996.73920000,,22.0,3.00,2780.41239764,75622.02986914,77853.74239764,-1.0,False,False,76887.31617732,77120.54831542,77918.41972276,80801.68398559,23764.78924200,14,24075.49323629,2.0000,,,47.99850216,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 12:00:00,76230.01000000,77074.02000000,76010.21000000,76760.86000000,2011.44438000,,22.0,3.00,2742.80376722,75755.18623278,77816.13376722,-1.0,False,False,76760.22507945,77077.65055664,77931.42276867,80833.68540468,21711.08158200,14,24035.79655271,2.0000,,,40.72947185,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 11:00:00,77191.16000000,77193.66000000,75756.86000000,76230.01000000,4778.95169000,,22.0,3.00,2682.51821068,77107.98425547,77755.84821068,-1.0,False,False,77020.90909534,77238.38746266,78036.79310977,80889.04616101,26435.07609200,14,24692.84895200,2.0000,,,47.14071592,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
BTCUSDT,1h,2025-04-09 10:00:00,77478.27000000,77574.15000000,76950.00000000,77190.00000000,1155.98799000,Bearish Engulfing,22.0,3.00,2791.91574453,77107.98425547,77865.24574453,-1.0,False,False,77011.25091440,77254.50055434,78076.28670608,80927.43657469,26495.85375200,14,24744.29839486,2.0000,,,48.13699412,84718.67000000,92831.34000000,103112.67000000,111225.34000000,74437.34000000,66324.67000000,56043.34000000
